"Year","FullGeoName","County","Activity","Reported.human.cases","Neuroinvasive.disease.cases","Identified.by.Blood.Donor.Screening","State","Average_Temperature_F"
2000,"MA, Nantucket",25019,"Non-human activity",0,0,0,"MA",53.7
2000,"MA, Norfolk",25021,"Non-human activity",0,0,0,"MA",53.7
2000,"MA, Plymouth",25023,"Non-human activity",0,0,0,"MA",53.7
2000,"MA, Suffolk",25025,"Non-human activity",0,0,0,"MA",53.7
2000,"MA, Worcester",25027,"Non-human activity",0,0,0,"MA",53.7
2000,"NH, Hillsborough",33011,"Non-human activity",0,0,0,"NH",53.7
2000,"NH, Rockingham",33015,"Non-human activity",0,0,0,"NH",53.7
2000,"NJ, Atlantic",34001,"Non-human activity",0,0,0,"NJ",53.7
2000,"NJ, Bergen",34003,"Human infections and non-human activity",1,1,0,"NJ",53.7
2000,"NJ, Burlington",34005,"Non-human activity",0,0,0,"NJ",53.7
2000,"NJ, Camden",34007,"Non-human activity",0,0,0,"NJ",53.7
2000,"NJ, Cape May",34009,"Non-human activity",0,0,0,"NJ",53.7
2000,"NJ, Essex",34013,"Non-human activity",0,0,0,"NJ",53.7
2000,"NJ, Gloucester",34015,"Non-human activity",0,0,0,"NJ",53.7
2000,"NJ, Hudson",34017,"Human infections and non-human activity",2,2,0,"NJ",53.7
2000,"NJ, Hunterdon",34019,"Non-human activity",0,0,0,"NJ",53.7
2000,"NJ, Mercer",34021,"Non-human activity",0,0,0,"NJ",53.7
2000,"NJ, Middlesex",34023,"Non-human activity",0,0,0,"NJ",53.7
2000,"NJ, Monmouth",34025,"Human infections and non-human activity",1,0,0,"NJ",53.7
2000,"NJ, Morris",34027,"Human infections and non-human activity",1,1,0,"NJ",53.7
2000,"NJ, Ocean",34029,"Non-human activity",0,0,0,"NJ",53.7
2000,"NJ, Passaic",34031,"Human infections and non-human activity",1,1,0,"NJ",53.7
2000,"NJ, Salem",34033,"Non-human activity",0,0,0,"NJ",53.7
2000,"NJ, Somerset",34035,"Non-human activity",0,0,0,"NJ",53.7
2000,"NJ, Sussex",34037,"Non-human activity",0,0,0,"NJ",53.7
2000,"NJ, Union",34039,"Non-human activity",0,0,0,"NJ",53.7
2000,"NJ, Warren",34041,"Non-human activity",0,0,0,"NJ",53.7
2000,"NY, Albany",36001,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Allegany",36003,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Bronx",36005,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Broome",36007,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Cattaraugus",36009,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Cayuga",36011,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Chautauqua",36013,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Chemung",36015,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Clinton",36019,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Columbia",36021,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Cortland",36023,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Delaware",36025,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Dutchess",36027,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Erie",36029,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Essex",36031,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Franklin",36033,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Fulton",36035,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Genesee",36037,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Greene",36039,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Hamilton",36041,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Herkimer",36043,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Jefferson",36045,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Kings",36047,"Human infections and non-human activity",2,2,0,"NY",53.7
2000,"NY, Lewis",36049,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Livingston",36051,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Madison",36053,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Monroe",36055,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Montgomery",36057,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Nassau",36059,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, New York",36061,"Human infections and non-human activity",1,1,0,"NY",53.7
2000,"NY, Niagara",36063,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Oneida",36065,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Onondaga",36067,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Ontario",36069,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Orange",36071,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Orleans",36073,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Oswego",36075,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Otsego",36077,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Putnam",36079,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Queens",36081,"Human infections and non-human activity",1,1,0,"NY",53.7
2000,"NY, Rensselaer",36083,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Richmond",36085,"Human infections and non-human activity",10,10,0,"NY",53.7
2000,"NY, Rockland",36087,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, St Lawrence",36089,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Saratoga",36091,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Schenectady",36093,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Schoharie",36095,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Schuyler",36097,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Seneca",36099,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Steuben",36101,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Suffolk",36103,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Sullivan",36105,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Tioga",36107,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Tompkins",36109,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Ulster",36111,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Warren",36113,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Washington",36115,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Wayne",36117,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Westchester",36119,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Wyoming",36121,"Non-human activity",0,0,0,"NY",53.7
2000,"NY, Yates",36123,"Non-human activity",0,0,0,"NY",53.7
2000,"NC, Chatham",37037,"Non-human activity",0,0,0,"NC",53.7
2000,"PA, Bradford",42015,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Bucks",42017,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Chester",42029,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Cumberland",42041,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Dauphin",42043,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Delaware",42045,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Erie",42049,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Franklin",42055,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Lehigh",42077,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Montgomery",42091,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Northampton",42095,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Philadelphia",42101,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Pike",42103,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Schuylkill",42107,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Susquehanna",42115,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Tioga",42117,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Union",42119,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, Wyoming",42131,"Non-human activity",0,0,0,"PA",53.7
2000,"PA, York",42133,"Non-human activity",0,0,0,"PA",53.7
2000,"RI, Kent",44003,"Non-human activity",0,0,0,"RI",53.7
2000,"RI, Newport",44005,"Non-human activity",0,0,0,"RI",53.7
2000,"RI, Providence",44007,"Non-human activity",0,0,0,"RI",53.7
2000,"RI, Washington",44009,"Non-human activity",0,0,0,"RI",53.7
2000,"VT, Windham",50025,"Non-human activity",0,0,0,"VT",53.7
2000,"VA, Fairfax",51059,"Non-human activity",0,0,0,"VA",53.7
2000,"VA, Hanover",51085,"Non-human activity",0,0,0,"VA",53.7
2000,"VA, Powhatan",51145,"Non-human activity",0,0,0,"VA",53.7
2000,"VA, Prince Edward",51147,"Non-human activity",0,0,0,"VA",53.7
2000,"VA, Spotsylvania",51177,"Non-human activity",0,0,0,"VA",53.7
2000,"VA, Alexandria City",51510,"Non-human activity",0,0,0,"VA",53.7
2000,"VA, Hampton City",51650,"Non-human activity",0,0,0,"VA",53.7
2001,"AL, Calhoun",1015,"Non-human activity",0,0,0,"AL",53.8
2001,"AL, Covington",1039,"Non-human activity",0,0,0,"AL",53.8
2001,"AL, Dale",1045,"Non-human activity",0,0,0,"AL",53.8
2001,"AL, Dallas",1047,"Non-human activity",0,0,0,"AL",53.8
2001,"AL, Jefferson",1073,"Human infections and non-human activity",2,2,0,"AL",53.8
2001,"AL, Lee",1081,"Non-human activity",0,0,0,"AL",53.8
2001,"AL, Madison",1089,"Non-human activity",0,0,0,"AL",53.8
2001,"AL, Marshall",1095,"Non-human activity",0,0,0,"AL",53.8
2001,"AL, Mobile",1097,"Non-human activity",0,0,0,"AL",53.8
2001,"AL, Montgomery",1101,"Non-human activity",0,0,0,"AL",53.8
2001,"AL, Russell",1113,"Non-human activity",0,0,0,"AL",53.8
2001,"AL, Shelby",1117,"Non-human activity",0,0,0,"AL",53.8
2001,"AL, Talladega",1121,"Non-human activity",0,0,0,"AL",53.8
2001,"AL, Tuscaloosa",1125,"Non-human activity",0,0,0,"AL",53.8
2001,"AR, Saline",5125,"Non-human activity",0,0,0,"AR",53.8
2001,"AR, Sebastian",5131,"Non-human activity",0,0,0,"AR",53.8
2001,"AR, Union",5139,"Non-human activity",0,0,0,"AR",53.8
2001,"CT, Fairfield",9001,"Human infections and non-human activity",3,3,0,"CT",53.8
2001,"CT, Hartford",9003,"Non-human activity",0,0,0,"CT",53.8
2001,"CT, Litchfield",9005,"Non-human activity",0,0,0,"CT",53.8
2001,"CT, Middlesex",9007,"Non-human activity",0,0,0,"CT",53.8
2001,"CT, New Haven",9009,"Human infections and non-human activity",3,3,0,"CT",53.8
2001,"CT, New London",9011,"Non-human activity",0,0,0,"CT",53.8
2001,"CT, Tolland",9013,"Non-human activity",0,0,0,"CT",53.8
2001,"CT, Windham",9015,"Non-human activity",0,0,0,"CT",53.8
2001,"DE, Kent",10001,"Non-human activity",0,0,0,"DE",53.8
2001,"DE, New Castle",10003,"Non-human activity",0,0,0,"DE",53.8
2001,"DC, Washington",11001,"Non-human activity",0,0,0,"DC",53.8
2001,"FL, Alachua",12001,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Baker",12003,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Bay",12005,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Bradford",12007,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Brevard",12009,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Broward",12011,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Calhoun",12013,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Charlotte",12015,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Citrus",12017,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Clay",12019,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Collier",12021,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Columbia",12023,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Dixie",12029,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Duval",12031,"Human infections and non-human activity",1,1,0,"FL",53.8
2001,"FL, Escambia",12033,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Flagler",12035,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Franklin",12037,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Gadsden",12039,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Gilchrist",12041,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Glades",12043,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Gulf",12045,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Hamilton",12047,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Hendry",12051,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Hernando",12053,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Highlands",12055,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Hillsborough",12057,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Holmes",12059,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Indian River",12061,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Jackson",12063,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Jefferson",12065,"Human infections and non-human activity",1,1,0,"FL",53.8
2001,"FL, Lafayette",12067,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Lake",12069,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Lee",12071,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Leon",12073,"Human infections and non-human activity",1,1,0,"FL",53.8
2001,"FL, Levy",12075,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Liberty",12077,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Madison",12079,"Human infections and non-human activity",2,2,0,"FL",53.8
2001,"FL, Manatee",12081,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Marion",12083,"Human infections and non-human activity",1,1,0,"FL",53.8
2001,"FL, Martin",12085,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Miami-Dade",12086,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Monroe",12087,"Human infections and non-human activity",2,2,0,"FL",53.8
2001,"FL, Nassau",12089,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Okaloosa",12091,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Okeechobee",12093,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Orange",12095,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Osceola",12097,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Palm Beach",12099,"Human infections and non-human activity",1,1,0,"FL",53.8
2001,"FL, Pasco",12101,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Pinellas",12103,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Polk",12105,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Putnam",12107,"Human infections and non-human activity",1,1,0,"FL",53.8
2001,"FL, St Johns",12109,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, St Lucie",12111,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Santa Rosa",12113,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Sarasota",12115,"Human infections and non-human activity",1,1,0,"FL",53.8
2001,"FL, Seminole",12117,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Sumter",12119,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Suwannee",12121,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Taylor",12123,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Union",12125,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Volusia",12127,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Wakulla",12129,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Walton",12131,"Non-human activity",0,0,0,"FL",53.8
2001,"FL, Washington",12133,"Human infections and non-human activity",1,1,0,"FL",53.8
2001,"GA, Appling",13001,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Atkinson",13003,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Bacon",13005,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Baker",13007,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Barrow",13013,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Bartow",13015,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Berrien",13019,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Bibb",13021,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Brantley",13025,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Brooks",13027,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Bryan",13029,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Bulloch",13031,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Camden",13039,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Catoosa",13047,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Charlton",13049,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Chatham",13051,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Chattooga",13055,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Clarke",13059,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Clinch",13065,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Cobb",13067,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Coffee",13069,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Columbia",13073,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Cook",13075,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Decatur",13087,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, De Kalb",13089,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Dodge",13091,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Dougherty",13095,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Echols",13101,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Effingham",13103,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Forsyth",13117,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Franklin",13119,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Fulton",13121,"Human infections and non-human activity",1,1,0,"GA",53.8
2001,"GA, Glynn",13127,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Grady",13131,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Gwinnett",13135,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Hart",13147,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Houston",13153,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Jeff Davis",13161,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Lanier",13173,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Laurens",13175,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Liberty",13179,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Long",13183,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Lowndes",13185,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Mcintosh",13191,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Macon",13193,"Human infections and non-human activity",1,1,0,"GA",53.8
2001,"GA, Muscogee",13215,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Pierce",13229,"Human infections and non-human activity",1,1,0,"GA",53.8
2001,"GA, Richmond",13245,"Human infections and non-human activity",1,1,0,"GA",53.8
2001,"GA, Rockdale",13247,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Stephens",13257,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Tattnall",13267,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Taylor",13269,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Thomas",13275,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Tift",13277,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Toombs",13279,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Ware",13299,"Non-human activity",0,0,0,"GA",53.8
2001,"GA, Wayne",13305,"Human infections and non-human activity",2,2,0,"GA",53.8
2001,"GA, Worth",13321,"Non-human activity",0,0,0,"GA",53.8
2001,"IL, Cook",17031,"Non-human activity",0,0,0,"IL",53.8
2001,"IL, Crawford",17033,"Non-human activity",0,0,0,"IL",53.8
2001,"IL, Du Page",17043,"Non-human activity",0,0,0,"IL",53.8
2001,"IL, Kane",17089,"Non-human activity",0,0,0,"IL",53.8
2001,"IL, Lake",17097,"Non-human activity",0,0,0,"IL",53.8
2001,"IL, Mchenry",17111,"Non-human activity",0,0,0,"IL",53.8
2001,"IL, Will",17197,"Non-human activity",0,0,0,"IL",53.8
2001,"IN, Clark",18019,"Non-human activity",0,0,0,"IN",53.8
2001,"IN, Floyd",18043,"Non-human activity",0,0,0,"IN",53.8
2001,"IN, Fulton",18049,"Non-human activity",0,0,0,"IN",53.8
2001,"IN, Lake",18089,"Non-human activity",0,0,0,"IN",53.8
2001,"IN, Lawrence",18093,"Non-human activity",0,0,0,"IN",53.8
2001,"IN, Marion",18097,"Non-human activity",0,0,0,"IN",53.8
2001,"IN, Porter",18127,"Non-human activity",0,0,0,"IN",53.8
2001,"IN, Vanderburgh",18163,"Non-human activity",0,0,0,"IN",53.8
2001,"IA, Scott",19163,"Non-human activity",0,0,0,"IA",53.8
2001,"KY, Boone",21015,"Non-human activity",0,0,0,"KY",53.8
2001,"KY, Bourbon",21017,"Non-human activity",0,0,0,"KY",53.8
2001,"KY, Bullitt",21029,"Non-human activity",0,0,0,"KY",53.8
2001,"KY, Clark",21049,"Non-human activity",0,0,0,"KY",53.8
2001,"KY, Fayette",21067,"Non-human activity",0,0,0,"KY",53.8
2001,"KY, Fleming",21069,"Non-human activity",0,0,0,"KY",53.8
2001,"KY, Hardin",21093,"Non-human activity",0,0,0,"KY",53.8
2001,"KY, Jefferson",21111,"Non-human activity",0,0,0,"KY",53.8
2001,"KY, Jessamine",21113,"Non-human activity",0,0,0,"KY",53.8
2001,"KY, Oldham",21185,"Non-human activity",0,0,0,"KY",53.8
2001,"KY, Taylor",21217,"Non-human activity",0,0,0,"KY",53.8
2001,"KY, Woodford",21239,"Non-human activity",0,0,0,"KY",53.8
2001,"LA, Calcasieu Parish",22019,"Non-human activity",0,0,0,"LA",53.8
2001,"LA, Jefferson Parish",22051,"Human infections and non-human activity",1,1,0,"LA",53.8
2001,"LA, Plaquemines Parish",22075,"Non-human activity",0,0,0,"LA",53.8
2001,"LA, Vermilion Parish",22113,"Non-human activity",0,0,0,"LA",53.8
2001,"ME, Androscoggin",23001,"Non-human activity",0,0,0,"ME",53.8
2001,"ME, Cumberland",23005,"Non-human activity",0,0,0,"ME",53.8
2001,"ME, York",23031,"Non-human activity",0,0,0,"ME",53.8
2001,"MD, Anne Arundel",24003,"Non-human activity",0,0,0,"MD",53.8
2001,"MD, Baltimore",24005,"Human infections and non-human activity",3,3,0,"MD",53.8
2001,"MD, Carroll",24013,"Non-human activity",0,0,0,"MD",53.8
2001,"MD, Cecil",24015,"Non-human activity",0,0,0,"MD",53.8
2001,"MD, Charles",24017,"Non-human activity",0,0,0,"MD",53.8
2001,"MD, Frederick",24021,"Non-human activity",0,0,0,"MD",53.8
2001,"MD, Harford",24025,"Non-human activity",0,0,0,"MD",53.8
2001,"MD, Howard",24027,"Non-human activity",0,0,0,"MD",53.8
2001,"MD, Montgomery",24031,"Non-human activity",0,0,0,"MD",53.8
2001,"MD, Prince Georges",24033,"Human infections and non-human activity",1,1,0,"MD",53.8
2001,"MD, Baltimore City",24510,"Human infections and non-human activity",2,2,0,"MD",53.8
2001,"MA, Barnstable",25001,"Non-human activity",0,0,0,"MA",53.8
2001,"MA, Bristol",25005,"Human infections and non-human activity",2,2,0,"MA",53.8
2001,"MA, Essex",25009,"Non-human activity",0,0,0,"MA",53.8
2001,"MA, Hampden",25013,"Non-human activity",0,0,0,"MA",53.8
2001,"MA, Middlesex",25017,"Human infections and non-human activity",1,1,0,"MA",53.8
2001,"MA, Norfolk",25021,"Non-human activity",0,0,0,"MA",53.8
2001,"MA, Plymouth",25023,"Non-human activity",0,0,0,"MA",53.8
2001,"MA, Suffolk",25025,"Non-human activity",0,0,0,"MA",53.8
2001,"MA, Worcester",25027,"Non-human activity",0,0,0,"MA",53.8
2001,"MI, Barry",26015,"Non-human activity",0,0,0,"MI",53.8
2001,"MI, Calhoun",26025,"Non-human activity",0,0,0,"MI",53.8
2001,"MI, Ingham",26065,"Non-human activity",0,0,0,"MI",53.8
2001,"MI, Jackson",26075,"Non-human activity",0,0,0,"MI",53.8
2001,"MI, Macomb",26099,"Non-human activity",0,0,0,"MI",53.8
2001,"MI, Muskegon",26121,"Non-human activity",0,0,0,"MI",53.8
2001,"MI, Oakland",26125,"Non-human activity",0,0,0,"MI",53.8
2001,"MI, Ottawa",26139,"Non-human activity",0,0,0,"MI",53.8
2001,"MI, Washtenaw",26161,"Non-human activity",0,0,0,"MI",53.8
2001,"MI, Wayne",26163,"Non-human activity",0,0,0,"MI",53.8
2001,"MS, Coahoma",28027,"Non-human activity",0,0,0,"MS",53.8
2001,"MS, Itawamba",28057,"Non-human activity",0,0,0,"MS",53.8
2001,"MS, Lee",28081,"Non-human activity",0,0,0,"MS",53.8
2001,"MS, Pontotoc",28115,"Non-human activity",0,0,0,"MS",53.8
2001,"MO, St Louis",29189,"Non-human activity",0,0,0,"MO",53.8
2001,"NH, Hillsborough",33011,"Non-human activity",0,0,0,"NH",53.8
